
                  X                  f        
               45.158E-06         -0.         
               45.2399E-06        -0.         
               45.3219E-06        -0.         
               45.4038E-06        -0.         
               45.4858E-06        -0.         
               45.5677E-06        -0.         
               45.6497E-06        -0.         
               45.7317E-06        -0.         
               45.8136E-06        -0.         
               45.8956E-06        -0.         
               45.9775E-06        -0.         
               46.0595E-06        -0.         
               46.1414E-06        -0.         
               46.2234E-06        -0.         
               46.3054E-06        -0.         
               46.3873E-06        -0.         
               46.4693E-06        -0.         
               46.5512E-06        -0.         
               46.6332E-06        -0.         
               46.7151E-06        -0.         
               46.7971E-06        -0.         
               46.8791E-06        -0.         
               46.961E-06         -0.         
               47.043E-06         -0.         
               47.1249E-06        -0.         
               47.2069E-06        -0.         
               47.2888E-06        -0.         
               47.3708E-06        -0.         
               47.4527E-06        -0.         
               47.5347E-06        -0.         
               47.6167E-06        -0.         
               47.6986E-06        -0.         
               47.7806E-06        -0.         
               47.8625E-06        -0.         
               47.9445E-06        -0.         
               48.0264E-06        -0.         
               48.1084E-06        -0.         
               48.1904E-06        -0.         
               48.2723E-06        -0.         
               48.3543E-06        -0.         
               48.4362E-06        -0.         
               48.5182E-06        -0.         
               48.6001E-06        -0.         
               48.6821E-06        -0.         
               48.764E-06         -0.         
               48.846E-06         -0.         
               48.928E-06         -0.         
               49.0099E-06        -0.         
               49.0919E-06        -0.         
               49.1738E-06        -0.         
               49.2558E-06        -0.         
               49.3377E-06        -0.         
               49.4197E-06        -0.         
               49.5017E-06        -0.         
               49.5836E-06        -0.         
               49.6656E-06        -0.         
               49.7475E-06        -0.         
               49.8295E-06        -0.         
               49.9114E-06        -0.         
               49.9934E-06        -0.         
               50.0754E-06        -0.         
               50.1573E-06        -0.         
               50.2393E-06        -0.         
               50.3212E-06        -0.         
               50.4032E-06        -0.         
               50.4851E-06        -0.         
               50.5671E-06        -0.         
               50.649E-06         -0.         
               50.731E-06         -0.         
               50.813E-06         -0.         
               50.8949E-06        -0.         
               50.9769E-06        -0.         
               51.0588E-06        -0.         
               51.1408E-06        -0.         
               51.2227E-06        -0.         
               51.3047E-06        -0.         
               51.3867E-06        -0.         
               51.4686E-06        -0.         
               51.5506E-06        -0.         
               51.6325E-06        -0.         
               51.7145E-06        -0.         
               51.7964E-06        -0.         
               51.8784E-06        -0.         
               51.9604E-06        -0.         
               52.0423E-06        -0.         
               52.1243E-06        -0.         
               52.2062E-06        -0.         
               52.2882E-06        -0.         
               52.3701E-06        -0.         
               52.4521E-06        -0.         
               52.534E-06         -0.         
               52.616E-06         -0.         
               52.698E-06         -0.         
               52.7799E-06        -0.         
               52.8619E-06        -0.         
               52.9438E-06        -0.         
               53.0258E-06        -0.         
               53.1077E-06        -0.         
               53.1897E-06        -0.         
               53.2717E-06        -0.         
               53.3536E-06        -0.         
               53.4356E-06        -0.         
               53.5175E-06        -0.         
               53.5995E-06        -0.         
               53.6814E-06        -0.         
               53.7634E-06        -0.         
               53.8453E-06        -0.         
               53.9273E-06        -0.         
               54.0093E-06        -0.         
               54.0912E-06        -0.         
               54.1732E-06        -0.         
               54.2551E-06        -0.         
               54.3371E-06        -0.         
               54.419E-06         -0.         
               54.501E-06         -0.         
               54.583E-06         -0.         
               54.6649E-06        -0.         
               54.7469E-06        -0.         
               54.8288E-06        -0.         
               54.9108E-06        -0.         
               54.9927E-06        -0.         
               55.0747E-06        -0.         
               55.1566E-06        -0.         
               55.2386E-06        -0.         
               55.3206E-06        -0.         
               55.4025E-06        -0.         
               55.4845E-06        -0.         
               55.5664E-06        -0.         
               55.6484E-06        -0.         
               55.7303E-06        -0.         
               55.8123E-06        -0.         
               55.8943E-06        -0.         
               55.9762E-06        -0.         
               56.0582E-06        -0.         
               56.1401E-06        -0.         
               56.2221E-06        -0.         
               56.304E-06         -0.         
               56.386E-06         -0.         
               56.4679E-06        -0.         
               56.5499E-06        -0.         
               56.6319E-06        -0.         
               56.7138E-06        -0.         
               56.7958E-06        -0.         
               56.8777E-06        -0.         
               56.9597E-06        -0.         
               57.0416E-06        -0.         
               57.1236E-06        -0.         
               57.2056E-06        -0.         
               57.2875E-06        -0.         
               57.3695E-06        -0.         
               57.4514E-06        -0.         
               57.5334E-06        -0.         
               57.6153E-06        -0.         
               57.6973E-06        -0.         
               57.7793E-06        -0.         
               57.8612E-06        -0.         
               57.9432E-06        -0.         
               58.0251E-06        -0.         
               58.1071E-06        -0.         
               58.189E-06         -0.         
               58.271E-06         -0.         
               58.3529E-06        -0.         
               58.4349E-06        -0.         
               58.5169E-06        -0.         
               58.5988E-06        -0.         
               58.6808E-06        -0.         
               58.7627E-06        -0.         
               58.8447E-06        -0.         
               58.9266E-06        -0.         
               59.0086E-06        -0.         
               59.0906E-06        -0.         
               59.1725E-06        -0.         
               59.2545E-06        -0.         
               59.3364E-06        -0.         
               59.4184E-06        -0.         
               59.5003E-06        -0.         
               59.5823E-06        -0.         
               59.6642E-06        -0.         
               59.7462E-06        -0.         
               59.8282E-06        -0.         
               59.9101E-06        -0.         
               59.9921E-06        -0.         
               60.074E-06         -0.         
               60.156E-06         -0.         
               60.2379E-06        -0.         
               60.3199E-06        -0.         
               60.4019E-06        -0.         
               60.4838E-06        -0.         
               60.5658E-06        -0.         
               60.6477E-06        -0.         
               60.7297E-06        -0.         
               60.8116E-06        -0.         
               60.8936E-06        -0.         
               60.9756E-06        -0.         
               61.0575E-06        -0.         
               61.1395E-06        -0.         
               61.2214E-06        -0.         
               61.3034E-06        -0.         
               61.3853E-06        -0.         
               61.4673E-06        -0.         
               61.5492E-06        -0.         
               61.6312E-06        -0.         
               61.7132E-06        -0.         
               61.7951E-06        -0.         
               61.8771E-06        -0.         
               61.959E-06          0.         
               62.041E-06          0.         
               62.1229E-06         0.         
               62.2049E-06         0.         
               62.2869E-06         0.         
               62.3688E-06         0.         
               62.4508E-06         0.         
               62.5327E-06         0.         
               62.6147E-06         0.         
               62.6966E-06         0.         
               62.7786E-06         0.         
               62.8605E-06         0.         
               62.9425E-06         0.         
               63.0245E-06         0.         
               63.1064E-06         0.         
               63.1884E-06         0.         
               63.2703E-06         0.         
               63.3523E-06         0.         
               63.4342E-06         0.         
               63.5162E-06         0.         
               63.5982E-06         0.         
               63.6801E-06         0.         
               63.7621E-06         0.         
               63.844E-06          0.         
               63.926E-06          0.         
               64.0079E-06         0.         
               64.0899E-06         0.         
               64.1719E-06         0.         
